Tax Class,Level 0,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,General Commission,Lookup Cat. ID,Lookup Cat. Name,asd
international,Root Category,Computers & Laptops,Computer Components,Motherboards,,,,5.45,3381,Motherboards,#N/A
international,Root Category,Computers & Laptops,Computer Components,RAM,,,,5.45,3382,RAM,#N/A
international,Root Category,Computers & Laptops,Computer Components,Processors,,,,5.45,3383,Processors,#N/A
international,Root Category,Computers & Laptops,Computer Components,Graphic Cards,,,,5.45,3384,Graphic Cards,#N/A
international,Root Category,Computers & Laptops,Storage,Internal Hard Drives,,,,2.73,3386,Internal Hard Drives,#N/A
international,Root Category,Computers & Laptops,Computer Components,Internal Optical Drives,,,,5.45,3387,Internal Optical Drives,#N/A
international,Root Category,Computers & Laptops,Computer Components,Cabinets,,,,5.45,3389,Cabinets,#N/A
international,Root Category,Computers & Laptops,Computer Components,Power Supply Units,,,,5.45,3390,Power Supply Units,#N/A
international,Root Category,Computers & Laptops,Computer Components,Fans & Heatsinks,,,,5.45,3391,Fans & Heatsinks,#N/A
international,Root Category,Computers & Laptops,Computer Components,Fans & Heatsinks,Cabinet Fans,,,5.45,3392,Cabinet Fans,#N/A
international,Root Category,Computers & Laptops,Computer Components,Fans & Heatsinks,CPU Fans & Heatsinks,,,5.45,3393,CPU Fans & Heatsinks,#N/A
international,Root Category,Computers & Laptops,Computer Accessories,,,,,5.45,3394,Computer Accessories,#N/A
international,Root Category,Computers & Laptops,Storage,External Hard Drives,,,,2.73,3395,External Hard Drives,#N/A
international,Root Category,Computers & Laptops,Computer Accessories,Keyboards,,,,5.45,3396,Keyboards,#N/A
international,Root Category,Computers & Laptops,Computer Accessories,Mice,,,,5.45,3397,Mice,#N/A
international,Root Category,Computers & Laptops,Storage,USB Flash Drives,,,,5.45,3398,USB Flash Drives,#N/A
international,Root Category,Computers & Laptops,Computer Accessories,Cooling Pads/Cooling Stands,,,,5.45,3399,Cooling Pads/Cooling Stands,#N/A
international,Root Category,Computers & Laptops,Computer Accessories,External DVD Writers,,,,5.45,3403,External DVD Writers,#N/A
international,Root Category,Computers & Laptops,Computer Accessories,Blank Media,,,,5.45,3404,Blank Media,#N/A
international,Root Category,Computers & Laptops,Computer Accessories,Speakers,,,,5.45,3405,Speakers,#N/A
international,Root Category,Computers & Laptops,Computer Accessories,Webcams,,,,5.45,3406,Webcams,#N/A
international,Root Category,Computers & Laptops,Computer Accessories,Batteries,,,,5.45,3407,Batteries,#N/A
international,Root Category,Computers & Laptops,Computer Accessories,Battery Adaptors,,,,5.45,3408,Battery Adaptors,#N/A
international,Root Category,Computers & Laptops,Computer Accessories,TV Tuners,,,,5.45,3410,TV Tuners,#N/A
international,Root Category,Computers & Laptops,Computer Accessories,Monitors,,,,1.36,3411,Monitors,#N/A
international,Root Category,Computers & Laptops,Scanners,,,,,5.45,3413,Scanners,#N/A
international,Root Category,Computers & Laptops,Printers & Accessories,,,,,4.55,3414,Printers & Accessories,#N/A
international,Root Category,Computers & Laptops,Printers & Accessories,Printers,,,,4.55,3416,Printers,#N/A
international,Root Category,Computers & Laptops,Software,,,,,5.45,3419,Software,#N/A
international,Root Category,Computers & Laptops,Software,Security Software,,,,5.45,3420,Security Software,#N/A
international,Root Category,Computers & Laptops,Software,Operating System,,,,5.45,3421,Operating System,#N/A
international,Root Category,Computers & Laptops,Software,Office Tools,,,,5.45,3422,Office Tools,#N/A
international,Root Category,Computers & Laptops,Software,Educational Media,,,,5.45,3423,Educational Media,#N/A
international,Root Category,Computers & Laptops,Network Components,,,,,5.45,3424,Network Components,#N/A
international,Root Category,"TV, Audio / Video, Gaming & Wearables",,,,,,5.45,3425,"TV, Audio / Video, Gaming & Wearables",#N/A
international,Root Category,Computers & Laptops,Network Components,Routers,,,,5.45,3426,Routers,3426
international,Root Category,Computers & Laptops,Network Components,Access Points,,,,5.45,3427,Access Points,3427
international,Root Category,"TV, Audio / Video, Gaming & Wearables",Video,,,,,5.45,3429,Video,3429
international,Root Category,Computers & Laptops,Network Components,Switches,,,,5.45,3430,Switches,3430
international,Root Category,Computers & Laptops,Network Components,Network Interface Cards,,,,5.45,3431,Network Interface Cards,3431
international,Root Category,"TV, Audio / Video, Gaming & Wearables",Televisions,,,,,5.45,3432,Televisions,3432
international,Root Category,Computers & Laptops,Network Components,Wireless USB Adapters,,,,5.45,3433,Wireless USB Adapters,3433
international,Root Category,Computers & Laptops,Network Components,Cables,,,,5.45,3434,Cables,3434
international,Root Category,"TV, Audio / Video, Gaming & Wearables",Televisions,LED Televisions,,,,5.45,3436,LED Televisions,3436
international,Root Category,"TV, Audio / Video, Gaming & Wearables",Televisions,CRT Televisions,,,,5.45,3438,CRT Televisions,3438
international,Root Category,Mobiles & Tablets,,,,,,5.45,3441,Mobiles & Tablets,3441
international,Root Category,"TV, Audio / Video, Gaming & Wearables",Televisions,Smart Televisions,,,,5.45,3442,Smart Televisions,3442
international,Root Category,Mobiles & Tablets,Mobiles,,,,,4.55,3443,Mobiles,3443
international,Root Category,Mobiles & Tablets,Tablets,,,,,4.55,3444,Tablets,3444
international,Root Category,"TV, Audio / Video, Gaming & Wearables",Televisions,Plasma Televisions,,,,5.45,3449,Plasma Televisions,3449
international,Root Category,"TV, Audio / Video, Gaming & Wearables",Televisions,LCD Televisions,,,,5.45,3454,LCD Televisions,3454
international,Root Category,"TV, Audio / Video, Gaming & Wearables",Video,Projectors,,,,5.45,3462,Projectors,3462
international,Root Category,Mobiles & Tablets,Landline Phones,,,,,5.45,3467,Landline Phones,3467
international,Root Category,Cameras,,,,,,5.45,3476,Cameras,3476
international,Root Category,"TV, Audio / Video, Gaming & Wearables",Video,Blu-Ray/DVD Players,,,,5.45,3477,Blu-Ray/DVD Players,3477
international,Root Category,Cameras,Point & Shoot,,,,,4.55,3478,Point & Shoot,3478
international,Root Category,Cameras,DSLR,,,,,4.55,3479,DSLR,3479
international,Root Category,Cameras,Bridge,,,,,4.55,3480,Bridge,3480
international,Root Category,Cameras,Video & Action Camcorder,,,,,4.55,3481,Video & Action Camcorder,3481
international,Root Category,Cameras,Mirrorless,,,,,4.55,3482,Mirrorless,3482
international,Root Category,Cameras,Instant Camera,,,,,4.55,3483,Instant Camera,3483
international,Root Category,Cameras,Camera Accessories,,,,,5.45,3484,Camera Accessories,3484
international,Root Category,Cameras,Camera Accessories,"Camera Cases, Covers and Bags",,,,5.45,3492,"Camera Cases, Covers and Bags",3492
international,Root Category,Cameras,Camera Accessories,Memory cards,,,,2.72,3493,Memory cards,#N/A
international,Root Category,Cameras,Camera Accessories,Batteries,,,,5.45,3496,Batteries,#N/A
international,Root Category,"TV, Audio / Video, Gaming & Wearables",Audio,,,,,5.45,3497,Audio,#N/A
international,Root Category,Cameras,Camera Accessories,Battery chargers,,,,5.45,3498,Battery chargers,3498
international,Root Category,Cameras,Camera Accessories,Flashes,,,,0.91,3499,Flashes,3499
international,Root Category,Cameras,Camera Accessories,Straps,,,,5.45,3500,Straps,3500
international,Root Category,Cameras,Camera Accessories,Camera Remote Controls,,,,5.45,3504,Camera Remote Controls,3504
international,Root Category,Health & Beauty,,,,,,7.27,3509,Health & Beauty,3509
international,Root Category,Health & Beauty,Makeup,,,,,7.27,3511,Makeup,3511
international,Root Category,Health & Beauty,Makeup,Face,,,,7.27,3512,Face,3512
international,Root Category,Health & Beauty,Makeup,Face,Foundation,,,7.27,3514,Foundation,3514
international,Root Category,Health & Beauty,Makeup,Face,BB Cream & Primer,BB Cream,,7.27,3518,BB Cream,3518
international,Root Category,Health & Beauty,Makeup,Face,Primer,,,7.27,3521,Primer,3521
international,Root Category,Health & Beauty,Makeup,Face,Concealer,,,7.27,3522,Concealer,3522
international,Root Category,Health & Beauty,Makeup,Face,Compacts & Powder,,,7.27,3524,Compacts & Powder,3524
international,Root Category,Health & Beauty,Makeup,Face,Blushes,,,7.27,3526,Blushes,3526
international,Root Category,Health & Beauty,Makeup,Face,Bronzers,,,7.27,3527,Bronzers,3527
international,Root Category,Health & Beauty,Makeup,Face,Shimmers and Highlighters,,,7.27,3528,Shimmers and Highlighters,3528
international,Root Category,"TV, Audio / Video, Gaming & Wearables",Audio,Portable Players,,,,5.45,3530,Portable Players,3530
international,Root Category,Health & Beauty,Makeup,Lips,,,,7.27,3531,Lips,3531
international,Root Category,"TV, Audio / Video, Gaming & Wearables",Audio,Portable Players,MP3/MP4,,,5.45,3532,MP3/MP4,3532
international,Root Category,Health & Beauty,Makeup,Lips,Lipsticks,,,7.27,3534,Lipsticks,3534
international,Root Category,Health & Beauty,Makeup,Lips,Lip Glosses,,,7.27,3537,Lip Glosses,3537
international,Root Category,Health & Beauty,Makeup,Lips,Lip Balm and Treatment,,,7.27,3539,Lip Balm and Treatment,3539
international,Root Category,Health & Beauty,Makeup,Lips,Lip Liners,,,7.27,3541,Lip Liners,3541
international,Root Category,Health & Beauty,Makeup,Lips,Lip Plumpers,,,7.27,3542,Lip Plumpers,3542
international,Root Category,Health & Beauty,Makeup,Eyes,,,,7.27,3543,Eyes,3543
international,Root Category,Health & Beauty,Makeup,Eyes,Eye Shadows,,,7.27,3544,Eye Shadows,3544
international,Root Category,Health & Beauty,Makeup,Eyes,Mascaras,,,7.27,3547,Mascaras,3547
international,Root Category,Health & Beauty,Makeup,Eyes,Eye Liners & Kajal,,,7.27,3548,Eye Liners & Kajal,3548
international,Root Category,Health & Beauty,Makeup,Eyes,Eyebrow,,,7.27,3549,Eyebrow,3549
international,Root Category,Health & Beauty,Makeup,Eyes,Eye Primer,,,7.27,3550,Eye Primer,3550
international,Root Category,Health & Beauty,Makeup,Eyes,False Eyelashes,,,7.27,3551,False Eyelashes,3551
international,Root Category,Health & Beauty,Makeup,Eyes,Eyelid Tape,,,7.27,3552,Eyelid Tape,3552
international,Root Category,Health & Beauty,Makeup,Nails,,,,7.27,3553,Nails,3553
international,Root Category,Health & Beauty,Makeup,Nails,Nail Polish,,,7.27,3554,Nail Polish,3554
international,Root Category,Health & Beauty,Makeup,Nails,Nail Polish Removers & Treatments,,,7.27,3555,Nail Polish Removers & Treatments,3555
international,Root Category,Health & Beauty,Makeup,Nails,Top Coat & Base Coat,,,7.27,3557,Top Coat & Base Coat,3557
international,Root Category,Health & Beauty,Makeup,Nails,Nail Art & Stickers,,,7.27,3558,Nail Art & Stickers,3558
international,Root Category,"TV, Audio / Video, Gaming & Wearables",Audio,Headphones & Headsets,,,,5.45,3559,Headphones & Headsets,3559
