id_supplier,short_code,name
67599,ID11K6E,"Perhiasan Monel"
67879,ID11KEE,Noce
67904,ID11KF4,"Semarak Bookstore"
68202,ID11KNM,Snowphone
68621,ID11L0L,Pitakita
69093,ID11LE3,"BIMA EUKO store"
69207,ID11LHC,"sanni acc"
69362,ID11LLS,"Lemonia Kids"
69484,ID11LP9,"Salim Batik"
69945,ID11M3F,SNEAKERS13
70020,ID11M5K,"Big Bos Store"
70067,ID11M6X,kaoskakiku
70275,ID11MCV,"Woman need"
70653,ID11MNN,kazeshop
70680,ID11MOF,"isng online"
70854,ID11MUE,"DRV Skincare"
70911,ID11MW1,"kusumadewa gold"
70986,ID11MY6,"ikh one shop"
71353,ID11N8N,"Big Store"
71570,ID11NEV,"Japanese Lucky Store"
72570,ID11O8F,"Profesional Shop88"
72758,ID11ODT,"fresh STYLE"
73070,ID11OMP,"weloveit youstyle"
73270,ID11OTF,evro
73417,ID11OXM,"Aquarius Gemilang"
73685,ID11P5A,"Retro SuperSport"
73805,ID11P8P,abadijayashop
74072,ID11PGC,"HO-Q Cell"
74157,ID11PIS,"Peh Song"
74279,ID11PM9,"Dilla shop"
74435,ID11PRP,"taopik cell"
74439,ID11PRU,"ABC 200"
74509,ID11PTU,LazCare
74840,ID11R3A,"Zanetta's Beauty Shop"
74854,ID11R3O,"Noah's Barn"
74990,ID11R7K,JACKERT
75054,ID11R9E,"aftersix inmind"
75834,ID11RWO,"Pen Paper"
75896,ID11RYG,"Hp Busana"
76073,ID11S3I,"Mustika Herbal"
76704,ID11SLJ,"COOLCOFFEE STORE"
77043,ID11SW8,"Yudio Shop"
77116,ID11SYB,"babyscom store"
77275,ID11T2V,"MW Cell"
77335,ID11T4K,"babyowl souvenir"
77365,ID11T5F,GIFTN
77497,ID11T97,"Toko Seni Rupa"
77734,ID11TFZ,"twins group"
77985,ID11TN5,Hiper
78155,ID11TT0,Andrika_Cell
78182,ID11TTS,Sahabat99
78194,ID11TU4,"Abi House"
78230,ID11TV5,KacangKita
78463,ID11U1T,"INFIA MARKET"
78714,ID11U8Z,"ELIM Filter"
78977,ID11UGH,"Elwa Outfit"
79136,ID11UL1,"Part Media"
79178,ID11UM8,"mutiara herb"
79495,ID11UWA,"Miss Keceh"
79503,ID11UWI,"Jaferi Shoes"
79563,ID11UY8,slyshop
79681,ID11V1L,Tronika
79879,ID11V79,"Rumah Susu Tasya"
80027,ID11VBH,"smart shop online."
80272,ID11VIH,KIDSMART
80419,ID11VMO,"lancar kuat"
80571,ID11VS1,DheHerba
80771,ID11VXR,"Clovis Store"
80871,ID11W0L,"CV. Green Angelica"
81147,ID11W8H,BugieOnlineShop
81210,ID11WAA,"paramount cellular-"
81327,ID11WDM,"control acc"
81344,ID11WE4,"erbe apparel"
81544,ID11WJU,"Suka online"
81618,ID11WLY,fashionclick-id
81711,ID11WOL,Dalandalan
81716,ID11WOR,"BEAUTY LIMITED"
81770,ID11WRA,"Penjual Terbaik--"
81897,ID11WUX,"Kios Madu Bang Fredi"
82128,ID11X1I,"vape bandung"
82258,ID11X58,"MYTH KIDS APPAREL"
82266,ID11X5G,"eL_eM_eN indonesia"
82410,ID11X9K,Phayuan
82421,ID11X9W,"KEITA Essential Oils"
82470,ID11XBA,"Feri's Toko"
82497,ID11XC2,"Bajuku murah"
82541,ID11XDB,"Apotek Miami (Minimarket Vegan)"
82606,ID11XF6,"Baby Kiddies Corner"
82627,ID11XFS,"Healthy Corner Shops"
82697,ID11XHS,"Soman Indonesia"
82802,ID11XKS,Wilco
82967,ID11XPH,"Hi-Qua Original Shop--"
83543,ID11Y6Y,"OTTOLUX PRODUCT"
83689,ID11YB4,Fruitful
83877,ID11YGH,"nicky arloji JR"
84278,ID11YSY,INDAHCRAFT
84380,ID11YVV,Moestore
84384,ID11YVZ,"Berry Shop Online"
84621,ID11Z2R,"Nico Filter Jakarta__"
84725,ID11Z5P,PERFUMESNBEAUTY
84820,ID11Z8F,"Gumpank watch"
84916,ID11ZB6,Toserbaindo
85223,ID11ZJY,istya_store
85268,ID11ZL8,Enter-Comp.
85426,ID11ZPR,"Lytta Mobile"
85489,ID11ZSJ,"8 Kivas"
85493,ID11ZSN,"The Gadis"
85552,ID11ZUC,"Juwara Notebook"
85619,ID11ZW9,"Jam Med"
85656,ID11ZXB,"Donker Project"
85872,ID1203H,Homyshop
86109,ID120A9,FLAM
86202,ID120CX,"HONEYQ LINE"
86262,ID120EM,nuritashop
86279,ID120F4,"Pasar Laris"
86334,ID120GO,atthaya_beautyshop
86363,ID120HI,"LEE VIERRA"
86877,ID120X7,"Naga Clothing"
87193,ID12168,"BAHARI WATCH"
87292,ID12192,3Gshop
87309,ID1219J,"Nusae Online"
87322,ID1219X,SuryaMas
87783,ID121N3,"Mifa Life"
87801,ID121NL,"H&P Collection"
87878,ID121PT,Roseller
87937,ID121SH,Laluna23
87948,ID121ST,Laudicollection
87992,ID121U2,"TIENS OLSHOP"
88032,ID121V7,FrimaShop
88105,ID121XA,lover.jjj
88115,ID121XK,"TACITA SHOP"
88316,ID1223B,"Ewo Shop"
88338,ID1223Y,"HILYA SHOP"
88344,ID12244,Mommeshop-com
88357,ID1224H,DOMINIX
88377,ID12252,"Imamkori store"
88477,ID1227X,Kasadaya
88560,ID122AA,"Shop Hello"
88695,ID122E5,Bantex_Indonesia
88743,ID122FI,DaveCollection
88958,ID122LN,"Quality Imported"
88997,ID122MS,"Elnino Store"
89032,ID122NS,"Valkyre Online Shop"
89050,ID122OA,"King Hardware Palu--"
89063,ID122ON,"EL Accessories--"
89158,ID122SD,WIAUTOSHOP
89464,ID12314,"PUSATALKESCOM SHOP"
89480,ID1231K,"LES CATINO"
89767,ID1239S,"warior time shop"
89862,ID123CH,"Harika Store"
89914,ID123DZ,"Rumahku Surgaku"
90089,ID123IZ,"Cek Toko Sebelah-"
90190,ID123LV,"Micro Star"
90217,ID123MM,"Comfort Seluler Shop"
90250,ID123NK,"Kedai kosmetik"
90252,ID123NM,jualtrancend
90288,ID123ON,"Afi Herbal"
90418,ID123TD,"R F R STORE"
90426,ID123TL,LILIPUTIH
90496,ID123VL,"Hair Care Beauty Styling"
90633,ID123ZI,Irfantshop
90911,ID1247G,"ZD Shop"
91003,ID124A3,"ISNA Fashion"
91006,ID124A6,"Kurnia shop"
91015,ID124AF,89stories
91016,ID124AG,"Golden Star"
91292,ID124IC,"Willy Shop"
91556,ID124PW,"Fairuz Acc hp"
91602,ID124S7,Kiyoye
91940,ID1251V,TBS
92128,ID12578,"Akifa Herbal"
92135,ID1257F,uyestore__-
92240,ID125AF,Septian_olshop--
92700,ID125NK,"Noir Vetements02"
92862,ID125T7,"Cherry Kebaya Bali"
92869,ID125TE,"Rumah Zaviera"
92922,ID125UX,"Dares Shop"
93003,ID125X8,"pipilu store"
93227,ID1263M,ranishop
93405,ID1268P,"Ridmacell Accesoris"
93419,ID12694,"IT Store Surabaya"
93550,ID126CV,"Gelang Tasbih Riza Craft"
93762,ID126IX,"Momo Store--"
93786,ID126JL,"Jazira shop"
93831,ID126KW,"Kyta Fashion--"
93920,ID126NF,"ZIZI ACC"
93973,ID126OY,"BELLE MANSION"
93994,ID126PJ,"ORICO INDONESIA"
94057,ID126SC,Joebabykids
94240,ID126XK,"EINS STYLE FASHIONS"
94425,ID1272V,"Nolly Arfiandi"
94690,ID127AF,"FTC Bags"
94720,ID127BA,"KERAK STORE"
95076,ID127LG,"Tiens Sehat Maju Bersama"
95166,ID127O1,Rilumo
95282,ID127SC,"Triple Three"
95343,ID127U3,JawaStore
95722,ID1284X,"Original Partz"
95902,ID128A2,"Toko Mawar"
96122,ID128GC,"STORAGE FASHION"
96250,ID128K0,"Rappang Cell"
96251,ID128K1,"Distributor Go Street"
96505,ID128SA,"JAYA ABADI--"
96563,ID128TY,"Hafiz Shop"
96813,ID12913,Tsarif
96879,ID1292Z,Enportu
97060,ID12985,"RAZQA SPORT"
97089,ID1298Z,"Tara Healthy Shop"
97098,ID12998,"The Setya Gallery"
97160,ID129B0,"Muslim Hidayah Store"
97178,ID129BI,juraganhemat88
97579,ID129MZ,Gudangsports
