id_shipping_fee_rate_card_kg,origin,leadtime,destination_zone,rounding,weight_break,flat_rate,step_rate,is_live
8313848,"Cross Border",Standard,1154,1.00,6999.00,0.00,0.00,1
8313849,"Cross Border",Standard,1154,1.00,999999.00,0.00,0.00,1
8313850,"Cross Border",Standard,1156,1.00,6999.00,0.00,0.00,1
8313851,"Cross Border",Standard,1156,1.00,999999.00,0.00,0.00,1
8313852,"Cross Border",Standard,1157,1.00,6999.00,0.00,0.00,1
8313853,"Cross Border",Standard,1157,1.00,999999.00,0.00,0.00,1
8313854,"Cross Border",Standard,1158,1.00,6999.00,0.00,0.00,1
8313855,"Cross Border",Standard,1158,1.00,999999.00,0.00,0.00,1
8313856,"Cross Border",Standard,1159,1.00,6999.00,0.00,0.00,1
8313857,"Cross Border",Standard,1159,1.00,999999.00,0.00,0.00,1
8313858,"Cross Border",Standard,1160,1.00,6999.00,0.00,0.00,1
8313859,"Cross Border",Standard,1160,1.00,999999.00,0.00,0.00,1
8313860,"Cross Border",Standard,1161,1.00,6999.00,0.00,0.00,1
8313861,"Cross Border",Standard,1161,1.00,999999.00,0.00,0.00,1
8313862,"Cross Border",Standard,1162,1.00,6999.00,0.00,0.00,1
8313863,"Cross Border",Standard,1162,1.00,999999.00,0.00,0.00,1
8313864,"Cross Border",Standard,1163,1.00,6999.00,0.00,0.00,1
8313865,"Cross Border",Standard,1163,1.00,999999.00,0.00,0.00,1
8313866,"Cross Border",Standard,1165,1.00,6999.00,0.00,0.00,1
8313867,"Cross Border",Standard,1165,1.00,999999.00,0.00,0.00,1
8313868,"Cross Border",Standard,1166,1.00,6999.00,0.00,0.00,1
8313869,"Cross Border",Standard,1166,1.00,999999.00,0.00,0.00,1
8313870,"Cross Border",Standard,1167,1.00,6999.00,0.00,0.00,1
8313871,"Cross Border",Standard,1167,1.00,999999.00,0.00,0.00,1
8313872,"Cross Border",Standard,1168,1.00,6999.00,0.00,0.00,1
8313873,"Cross Border",Standard,1168,1.00,999999.00,0.00,0.00,1
8313874,"Cross Border",Standard,1169,1.00,6999.00,0.00,0.00,1
8313875,"Cross Border",Standard,1169,1.00,999999.00,0.00,0.00,1
8313876,"Cross Border",Standard,1170,1.00,6999.00,0.00,0.00,1
8313877,"Cross Border",Standard,1170,1.00,999999.00,0.00,0.00,1
8313878,"Cross Border",Standard,1171,1.00,6999.00,0.00,0.00,1
8313879,"Cross Border",Standard,1171,1.00,999999.00,0.00,0.00,1
8313880,"Cross Border",Standard,1172,1.00,6999.00,0.00,0.00,1
8313881,"Cross Border",Standard,1172,1.00,999999.00,0.00,0.00,1
8313882,"Cross Border",Standard,1174,1.00,6999.00,0.00,0.00,1
8313883,"Cross Border",Standard,1174,1.00,999999.00,0.00,0.00,1
8313884,"Cross Border",Standard,1175,1.00,6999.00,0.00,0.00,1
8313885,"Cross Border",Standard,1175,1.00,999999.00,0.00,0.00,1
8313886,"Cross Border",Standard,1176,1.00,6999.00,0.00,0.00,1
8313887,"Cross Border",Standard,1176,1.00,999999.00,0.00,0.00,1
8313888,"Cross Border",Standard,1177,1.00,6999.00,0.00,0.00,1
8313889,"Cross Border",Standard,1177,1.00,999999.00,0.00,0.00,1
8313890,"Cross Border",Standard,1178,1.00,6999.00,0.00,0.00,1
8313891,"Cross Border",Standard,1178,1.00,999999.00,0.00,0.00,1
8313892,"Cross Border",Standard,1179,1.00,6999.00,0.00,0.00,1
8313893,"Cross Border",Standard,1179,1.00,999999.00,0.00,0.00,1
8313894,"Cross Border",Standard,1180,1.00,6999.00,0.00,0.00,1
8313895,"Cross Border",Standard,1180,1.00,999999.00,0.00,0.00,1
8313896,"Cross Border",Standard,1181,1.00,6999.00,0.00,0.00,1
8313897,"Cross Border",Standard,1181,1.00,999999.00,0.00,0.00,1
8313898,"Cross Border",Standard,1182,1.00,6999.00,0.00,0.00,1
8313899,"Cross Border",Standard,1182,1.00,999999.00,0.00,0.00,1
8313900,"Cross Border",Standard,1183,1.00,6999.00,0.00,0.00,1
8313901,"Cross Border",Standard,1183,1.00,999999.00,0.00,0.00,1
8313902,"Cross Border",Standard,1184,1.00,6999.00,0.00,0.00,1
8313903,"Cross Border",Standard,1184,1.00,999999.00,0.00,0.00,1
8313904,"Cross Border",Standard,1185,1.00,6999.00,0.00,0.00,1
8313905,"Cross Border",Standard,1185,1.00,999999.00,0.00,0.00,1
8313906,"Cross Border",Standard,1186,1.00,6999.00,0.00,0.00,1
8313907,"Cross Border",Standard,1186,1.00,999999.00,0.00,0.00,1
8313908,"Cross Border",Standard,1187,1.00,6999.00,0.00,0.00,1
8313909,"Cross Border",Standard,1187,1.00,999999.00,0.00,0.00,1
8313910,"Cross Border",Standard,1188,1.00,6999.00,0.00,0.00,1
8313911,"Cross Border",Standard,1188,1.00,999999.00,0.00,0.00,1
8313912,"Cross Border",Standard,1189,1.00,6999.00,0.00,0.00,1
8313913,"Cross Border",Standard,1189,1.00,999999.00,0.00,0.00,1
8313914,"Cross Border",Standard,1190,1.00,6999.00,0.00,0.00,1
8313915,"Cross Border",Standard,1190,1.00,999999.00,0.00,0.00,1
8313916,"Cross Border",Standard,1191,1.00,6999.00,0.00,0.00,1
8313917,"Cross Border",Standard,1191,1.00,999999.00,0.00,0.00,1
8313918,"Cross Border",Standard,1192,1.00,6999.00,0.00,0.00,1
8313919,"Cross Border",Standard,1192,1.00,999999.00,0.00,0.00,1
8313920,"Cross Border",Standard,1193,1.00,6999.00,0.00,0.00,1
8313921,"Cross Border",Standard,1193,1.00,999999.00,0.00,0.00,1
8313922,"Cross Border",Standard,1194,1.00,6999.00,0.00,0.00,1
8313923,"Cross Border",Standard,1194,1.00,999999.00,0.00,0.00,1
8313924,"Cross Border",Standard,1195,1.00,6999.00,0.00,0.00,1
8313925,"Cross Border",Standard,1195,1.00,999999.00,0.00,0.00,1
8313926,"Cross Border",Standard,1196,1.00,6999.00,0.00,0.00,1
8313927,"Cross Border",Standard,1196,1.00,999999.00,0.00,0.00,1
8313928,"Cross Border",Standard,1197,1.00,6999.00,0.00,0.00,1
8313929,"Cross Border",Standard,1197,1.00,999999.00,0.00,0.00,1
8313930,"Cross Border",Standard,1199,1.00,6999.00,0.00,0.00,1
8313931,"Cross Border",Standard,1199,1.00,999999.00,0.00,0.00,1
8313932,"Cross Border",Standard,1200,1.00,6999.00,0.00,0.00,1
8313933,"Cross Border",Standard,1200,1.00,999999.00,0.00,0.00,1
8313934,"Cross Border",Standard,1201,1.00,6999.00,0.00,0.00,1
8313935,"Cross Border",Standard,1201,1.00,999999.00,0.00,0.00,1
8313936,"Cross Border",Standard,1202,1.00,6999.00,0.00,0.00,1
8313937,"Cross Border",Standard,1202,1.00,999999.00,0.00,0.00,1
8313938,"Cross Border",Standard,1203,1.00,6999.00,0.00,0.00,1
8313939,"Cross Border",Standard,1203,1.00,999999.00,0.00,0.00,1
