Tax Class,Level 0,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,General Commission,Lookup Cat. ID,Lookup Cat. Name,asd
local,Root Category,Health & Beauty,Makeup,Body,,,,5.45,3564,Body,1
local,Root Category,Health & Beauty,Makeup,Body,Bronzers,,,5.45,3567,Bronzers,1
local,Root Category,Health & Beauty,Makeup,Body,Shimmers and Glitters,,,5.45,3570,Shimmers and Glitters,1
local,Root Category,Health & Beauty,Makeup,Makeup Removers,,,,5.45,3572,Makeup Removers,1
local,Root Category,Health & Beauty,Makeup,"Makeup Kits, Sets, Palettes",,,,5.45,3576,"Makeup Kits, Sets, Palettes",1
local,Root Category,Health & Beauty,Makeup,Makeup Accessories,,,,5.45,3579,Makeup Accessories,1
local,Root Category,Health & Beauty,Makeup,Makeup Accessories,Brushes and Applicators,,,5.45,3580,Brushes and Applicators,1
local,Root Category,Health & Beauty,Makeup,Makeup Accessories,Puffs and Sponges,,,5.45,3582,Puffs and Sponges,1
local,Root Category,Health & Beauty,Makeup,Makeup Accessories,Eyelash Curlers,,,5.45,3583,Eyelash Curlers,1
local,Root Category,Health & Beauty,Makeup,Makeup Accessories,Sharpeners,,,5.45,3585,Sharpeners,1
local,Root Category,Health & Beauty,Makeup,Makeup Accessories,"Tweezers, Pluckers & Razors",,,5.45,3586,"Tweezers, Pluckers & Razors",1
local,Root Category,Health & Beauty,Makeup,Makeup Accessories,Mirrors,,,5.45,3588,Mirrors,1
local,Root Category,Health & Beauty,Makeup,Makeup Accessories,Facial Tissues,,,5.45,3590,Facial Tissues,1
local,Root Category,Health & Beauty,Makeup,Makeup Accessories,"Cotton Balls, Pads and Buds",,,5.45,3591,"Cotton Balls, Pads and Buds",1
local,Root Category,Health & Beauty,Makeup,Makeup Accessories,Makeup Bags & Organizers,,,5.45,3592,Makeup Bags & Organizers,1
local,Root Category,Health & Beauty,Skin Care,,,,,5.45,3593,Skin Care,1
local,Root Category,"TV, Audio / Video, Gaming & Wearables",Gaming,Gaming Accessories,,,,4.54,3597,Gaming Accessories,1
local,Root Category,"TV, Audio / Video, Gaming & Wearables",Gaming,Gaming Accessories,Gamepads & Controllers,,,4.54,3601,Gamepads & Controllers,1
local,Root Category,"TV, Audio / Video, Gaming & Wearables",Gaming,Gaming Accessories,Batteries & Chargers,,,4.54,3609,Batteries & Chargers,1
local,Root Category,Health & Beauty,Bath & Body,,,,,5.45,3624,Bath & Body,1
local,Root Category,Health & Beauty,Bath & Body,Body Lotion & Butter,,,,5.45,3628,Body Lotion & Butter,1
local,Root Category,Health & Beauty,Bath & Body,Sun Protection,Sunscreen & After Sun,,,5.45,3637,Sunscreen & After Sun,1
local,Root Category,Health & Beauty,Bath & Body,Body Scrubs,,,,5.45,3640,Body Scrubs,1
local,Root Category,Health & Beauty,Bath & Body,Body Soaps & Shower Gels,,,,5.45,3642,Body Soaps & Shower Gels,1
local,Root Category,Health & Beauty,Bath & Body,Hair Removal,,,,5.45,3645,Hair Removal,1
local,Root Category,Health & Beauty,Bath & Body,Hand & Foot Care,,,,5.45,3651,Hand & Foot Care,1
local,Root Category,Health & Beauty,Bath & Body,Hand & Foot Care,Hand Care,,,5.45,3653,Hand Care,1
