id_shipping_fee_rate_card_kg,origin,leadtime,destination_zone,rounding,weight_break,flat_rate,step_rate,is_live
7927920,"Cross Border",Standard,1116,1.00,6999.00,0.00,0.00,1
7927921,"Cross Border",Standard,1116,1.00,999999.00,0.00,0.00,1
7927922,"Cross Border",Standard,1117,1.00,6999.00,0.00,0.00,1
7927923,"Cross Border",Standard,1117,1.00,999999.00,0.00,0.00,1
7927924,"Cross Border",Standard,1118,1.00,6999.00,0.00,0.00,1
7927925,"Cross Border",Standard,1118,1.00,999999.00,0.00,0.00,1
7927926,"Cross Border",Standard,1119,1.00,6999.00,0.00,0.00,1
7927927,"Cross Border",Standard,1119,1.00,999999.00,0.00,0.00,1
7927928,"Cross Border",Standard,1120,1.00,6999.00,0.00,0.00,1
7927929,"Cross Border",Standard,1120,1.00,999999.00,0.00,0.00,1
7927930,"Cross Border",Standard,1122,1.00,6999.00,0.00,0.00,1
7927931,"Cross Border",Standard,1122,1.00,999999.00,0.00,0.00,1
7927932,"Cross Border",Standard,1123,1.00,6999.00,0.00,0.00,1
7927933,"Cross Border",Standard,1123,1.00,999999.00,0.00,0.00,1
7927934,"Cross Border",Standard,1124,1.00,6999.00,0.00,0.00,1
7927935,"Cross Border",Standard,1124,1.00,999999.00,0.00,0.00,1
7927936,"Cross Border",Standard,1125,1.00,6999.00,0.00,0.00,1
7927937,"Cross Border",Standard,1125,1.00,999999.00,0.00,0.00,1
7927938,"Cross Border",Standard,1126,1.00,6999.00,0.00,0.00,1
7927939,"Cross Border",Standard,1126,1.00,999999.00,0.00,0.00,1
7927940,"Cross Border",Standard,1127,1.00,6999.00,0.00,0.00,1
7927941,"Cross Border",Standard,1127,1.00,999999.00,0.00,0.00,1
7927942,"Cross Border",Standard,1128,1.00,6999.00,0.00,0.00,1
7927943,"Cross Border",Standard,1128,1.00,999999.00,0.00,0.00,1
7927944,"Cross Border",Standard,1129,1.00,6999.00,0.00,0.00,1
7927945,"Cross Border",Standard,1129,1.00,999999.00,0.00,0.00,1
7927946,"Cross Border",Standard,1130,1.00,6999.00,0.00,0.00,1
7927947,"Cross Border",Standard,1130,1.00,999999.00,0.00,0.00,1
7927948,"Cross Border",Standard,1131,1.00,6999.00,0.00,0.00,1
7927949,"Cross Border",Standard,1131,1.00,999999.00,0.00,0.00,1
7927950,"Cross Border",Standard,1132,1.00,6999.00,0.00,0.00,1
7927951,"Cross Border",Standard,1132,1.00,999999.00,0.00,0.00,1
7927952,"Cross Border",Standard,1133,1.00,6999.00,0.00,0.00,1
7927953,"Cross Border",Standard,1133,1.00,999999.00,0.00,0.00,1
7927954,"Cross Border",Standard,1135,1.00,6999.00,0.00,0.00,1
7927955,"Cross Border",Standard,1135,1.00,999999.00,0.00,0.00,1
7927956,"Cross Border",Standard,1136,1.00,6999.00,0.00,0.00,1
7927957,"Cross Border",Standard,1136,1.00,999999.00,0.00,0.00,1
7927958,"Cross Border",Standard,1137,1.00,6999.00,0.00,0.00,1
7927959,"Cross Border",Standard,1137,1.00,999999.00,0.00,0.00,1
7927960,"Cross Border",Standard,1138,1.00,6999.00,0.00,0.00,1
7927961,"Cross Border",Standard,1138,1.00,999999.00,0.00,0.00,1
7927962,"Cross Border",Standard,1139,1.00,6999.00,0.00,0.00,1
7927963,"Cross Border",Standard,1139,1.00,999999.00,0.00,0.00,1
7927964,"Cross Border",Standard,1141,1.00,6999.00,0.00,0.00,1
7927965,"Cross Border",Standard,1141,1.00,999999.00,0.00,0.00,1
7927966,"Cross Border",Standard,1142,1.00,6999.00,0.00,0.00,1
7927967,"Cross Border",Standard,1142,1.00,999999.00,0.00,0.00,1
